file,backend,algorithm,dtype,size,tag,real_time_ns,cpu_time_ns,gbps,repetitions
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,262144,,793497.9950263295,123403.57679929542,7921350607.158596,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,524288,,1324971.1234153258,126065.50993377503,9411893362.886507,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,1048576,,2385285.936086957,138956.43695652607,10523105760.346298,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,2097152,,4646484.1033898285,212139.2525423583,10763027888.081501,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,4194304,,10160289.62612613,319988.29099100793,9900573351.000565,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,8388608,,21404587.11842105,413028.0175439245,9404742092.044739,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,16777216,,43944790.375,516033.2550002049,9161911416.530792,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,33554432,,89372471.26785715,726382.8500002082,9006962581.138577,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,67108864,,180104261.0,1133958.6428574324,8941733808.34402,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,134217728,,360720694.3125,1921904.6250000815,8929107668.461191,16
foreach_cpu_its1.json,Clang-SYCL_CPU,for_each,double,268435456,,739757935.25,3548074.099997933,8653678638.055893,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,8,,144640.5,52053.00000005186,1435406.025079886,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,16,,69402.73744216788,38625.58703734302,5741945.575304193,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,32,,68894.29305699699,38703.10502249247,11466241.370179476,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,64,,70601.38499618231,39310.01915245615,22018770.865675494,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,128,,70855.68102044976,39216.720495472524,43668371.20706389,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,256,,71629.15613378152,38996.32054613072,85501360.48143739,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,512,,71557.5791770576,38612.564733998355,167773918.60618547,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,1024,,73145.34308869316,39210.5719009336,332459163.67536277,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,2048,,76354.92119304232,39739.06154625995,643651274.5219007,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,4096,,83754.63869801606,41567.1974486136,1172633907.9767327,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,8192,,98620.10271167272,45169.623402302066,1992164342.4737139,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,16384,,126635.38810319906,49455.53820260262,3098315221.936795,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,32768,,180706.79679420908,61184.90644389978,4350550484.96031,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,65536,,290373.89393625886,83819.0869205308,5415260894.297102,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,131072,,506290.4368896929,129099.14276672658,6211207985.472456,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,262144,,779714.6886503067,132361.0253764678,8066917804.604334,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,524288,,1337783.184471155,143285.5672115379,9368002189.102192,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,1048576,,2374154.6100682598,166190.22269624454,10579143665.813007,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,2097152,,4702028.007731958,257946.74982816997,10646091227.624508,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,4194304,,10099611.607142858,465877.14732141246,9960594236.68565,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,8388608,,21255834.887931034,618714.4379309057,9470486692.387375,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,16777216,,43628176.81666666,935945.7083333449,9228882547.544731,16
foreach_cpu_its10.json,Clang-SYCL_CPU,for_each,double,33554432,,88573353.36666664,1558302.1833334006,9087538240.145363,16
